seq,PBD,CHR,mthook,LBD,upstream
F1_2P23,1,0,1,0,0
F1_SC29EK,1,0,0,0,0
F1_C34,1,0,0,0,0
F1_DP178/T20/Enfuvirtide/ENF,0,0,0,1,0
F1_Sifuvirtide/SFT,1,0,0,0,0
F1_T2635,1,0,1,0,0
F1_MT-SFT,1,0,1,0,0
F1_T1144,1,0,1,0,0
F1_Tifuvirtide/T1249,1,0,0,1,0
F1_V2o,1,1,0,1,0
F1_C46,1,1,0,1,0
F1_CT105,1,0,1,0,0
F1_SC34EK,1,0,0,0,0
F1_CP32M,1,0,1,0,1
F1_SC22EK,1,0,0,0,0
F1_MT-WQ-IDL,1,0,1,0,0
F1_C36M3A,1,0,0,0,0
F1_CP621-652,1,0,1,0,1
F1_C46-EHO,1,1,0,1,0
F1_SC29,1,0,0,0,0
F1_SC22,1,0,0,0,0
F1_C34_ROD,1,0,0,0,0
F1_C34_EHO,1,0,0,0,0
F1_P3,1,0,0,0,0
F1_MT-C34,1,0,1,0,0
F1_MT-SC29,1,0,1,0,0
F1_MT-SC22,1,0,1,0,0
F1_MT-SC34_ROD,1,0,1,0,0
F1_MT-SC34_EHO,1,0,1,0,0
F1_MT-P3,1,0,1,0,0
F1_HP23,1,0,1,0,0
F1_HP23L,1,0,1,0,0
F1_P21_ROD,1,0,1,0,0
F1_P21_EHO,1,0,1,0,0
F1_P21_P3,1,0,1,0,0
F1_2P23L,1,0,1,0,0
F1_2P23Q,1,0,1,0,0
F1_SC35EK,1,0,0,0,0
F1_FB006,1,0,0,0,0
F1_WQ,1,0,0,0,0
F1_WQ-LDL,1,0,0,0,0
F1_WQ-IDI,1,0,0,0,0
F1_WQ-LDI,1,0,0,0,0
F1_WQ-IDL,1,0,0,0,0
F1_MT-WQ,1,0,1,0,0
F1_T1144-C10,1,1,1,1,0
F1_AA-C34,1,0,1,0,0
F1_TM-C34,1,0,1,0,0
F1_MT-SC29EK,1,0,1,0,0
F1_MT-SC22EK,1,0,1,0,0
F1_MT-SC21EK,1,0,1,0,0
F1_MT-SC20EK,1,0,1,0,0
F1_MT-SC19EK,1,0,1,0,0
F1_SC34,1,0,0,0,0
F1_C36M0,1,0,0,0,0
F1_C36M1,1,0,0,0,0
F1_C36M2,1,0,0,0,0
F1_C36M3,1,0,0,0,0
F1_C36M4,1,0,0,0,0
F1_C36,1,0,0,0,0
F1_C36M1A,1,0,0,0,0
F1_C36M2A,1,0,0,0,0
F1_C36M4A,1,0,0,0,0
F1_HP23-E6-IDL,1,0,1,0,0
F1_YIK,1,0,1,0,0
